UPDATE ITEM: User role: employee, Claims: {'fresh': False, 'iat': 1770101795, 'jti': 'ee7add31-2c19-4e95-a3ee-a6e944cb9e7b', 'type': 'access', 'sub': '8', 'nbf': 1770101795, 'csrf': '07787185-1190-4a55-9cd4-a894b0c63a5f', 'exp': 1770102695, 'role': 'employee'}
UPDATE ITEM: User role: employee, Claims: {'fresh': False, 'iat': 1770101532, 'jti': 'd7a76fda-1b7b-4e3f-9c2c-443e177a20c3', 'type': 'access', 'sub': '2', 'nbf': 1770101532, 'csrf': '99af3347-620a-4eac-9161-5f4408172174', 'exp': 1770102432, 'role': 'employee'}
UPDATE ITEM: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770101934, 'jti': '4888fe3d-ffef-47ea-aa9c-78418df920a5', 'type': 'access', 'sub': '1', 'nbf': 1770101934, 'csrf': 'f1ca440a-0115-4014-995c-9ce88b78f779', 'exp': 1770102834, 'role': 'cafeteria_admin'}
UPDATE ITEM: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770101934, 'jti': '4888fe3d-ffef-47ea-aa9c-78418df920a5', 'type': 'access', 'sub': '1', 'nbf': 1770101934, 'csrf': 'f1ca440a-0115-4014-995c-9ce88b78f779', 'exp': 1770102834, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102547, 'jti': 'cb3d241d-c89c-45ee-bad5-b65f3eebdf1c', 'type': 'access', 'sub': '1', 'nbf': 1770102547, 'csrf': 'e760709b-c7fc-438e-902d-0e3205980904', 'exp': 1770103447, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102547, 'jti': 'cb3d241d-c89c-45ee-bad5-b65f3eebdf1c', 'type': 'access', 'sub': '1', 'nbf': 1770102547, 'csrf': 'e760709b-c7fc-438e-902d-0e3205980904', 'exp': 1770103447, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102547, 'jti': 'cb3d241d-c89c-45ee-bad5-b65f3eebdf1c', 'type': 'access', 'sub': '1', 'nbf': 1770102547, 'csrf': 'e760709b-c7fc-438e-902d-0e3205980904', 'exp': 1770103447, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102668, 'jti': 'ac6bea80-3bab-4263-85c9-e047beea0d84', 'type': 'access', 'sub': '1', 'nbf': 1770102668, 'csrf': '28a1ccca-7dbd-430c-917b-dc3633690dda', 'exp': 1770103568, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102668, 'jti': 'ac6bea80-3bab-4263-85c9-e047beea0d84', 'type': 'access', 'sub': '1', 'nbf': 1770102668, 'csrf': '28a1ccca-7dbd-430c-917b-dc3633690dda', 'exp': 1770103568, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102668, 'jti': 'ac6bea80-3bab-4263-85c9-e047beea0d84', 'type': 'access', 'sub': '1', 'nbf': 1770102668, 'csrf': '28a1ccca-7dbd-430c-917b-dc3633690dda', 'exp': 1770103568, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102981, 'jti': 'cfb98e8e-49b8-4e1d-adf9-5f693f0b8ece', 'type': 'access', 'sub': '1', 'nbf': 1770102981, 'csrf': '54e29abf-726f-49c8-8336-c1739875ec76', 'exp': 1770103881, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102981, 'jti': 'cfb98e8e-49b8-4e1d-adf9-5f693f0b8ece', 'type': 'access', 'sub': '1', 'nbf': 1770102981, 'csrf': '54e29abf-726f-49c8-8336-c1739875ec76', 'exp': 1770103881, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102981, 'jti': 'cfb98e8e-49b8-4e1d-adf9-5f693f0b8ece', 'type': 'access', 'sub': '1', 'nbf': 1770102981, 'csrf': '54e29abf-726f-49c8-8336-c1739875ec76', 'exp': 1770103881, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102981, 'jti': 'cfb98e8e-49b8-4e1d-adf9-5f693f0b8ece', 'type': 'access', 'sub': '1', 'nbf': 1770102981, 'csrf': '54e29abf-726f-49c8-8336-c1739875ec76', 'exp': 1770103881, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102981, 'jti': 'cfb98e8e-49b8-4e1d-adf9-5f693f0b8ece', 'type': 'access', 'sub': '1', 'nbf': 1770102981, 'csrf': '54e29abf-726f-49c8-8336-c1739875ec76', 'exp': 1770103881, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770102981, 'jti': 'cfb98e8e-49b8-4e1d-adf9-5f693f0b8ece', 'type': 'access', 'sub': '1', 'nbf': 1770102981, 'csrf': '54e29abf-726f-49c8-8336-c1739875ec76', 'exp': 1770103881, 'role': 'cafeteria_admin'}
UPDATE ITEM: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
UPDATE ITEM: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
